,Methanobrevibacter,Actinomyces,Corynebacterium,Bifidobacterium,Atopobium,Collinsella,Eggerthella,Olsenella,Slackia,Bacteroides,Barnesiella,Butyricimonas,Dysgonomonas,Odoribacter,Parabacteroides,Porphyromonas,Paraprevotella,Prevotella,Alistipes,Bacillus,Gemella,Staphylococcus,Abiotrophia,Enterococcus,Vagococcus,Lactobacillus,Pediococcus,Weissella,Lactococcus,Streptococcus,Clostridium_sensu_stricto,Sarcina,Anaerococcus,Finegoldia,Parvimonas,Peptoniphilus,Anaerovorax,Mogibacterium,Anaerofustis,Eubacterium,Pseudoramibacter,Anaerostipes,Blautia,Clostridium_XlVa,Clostridium_XlVb,Coprococcus,Dorea,Hespellia,Howardella,Lachnospiracea_incertae_sedis,Lactonifactor,Oribacterium,Roseburia,Ruminococcus2,Syntrophococcus,Peptococcus,Clostridium_XI,Peptostreptococcus,Anaerofilum,Butyricicoccus,Clostridium_III,Clostridium_IV,Ethanoligenens,Flavonifractor,Gemmiger,Hydrogenoanaerobacterium,Oscillibacter,Ruminococcus,Sporobacter,Clostridium_XVIII,Coprobacillus,Erysipelotrichaceae_incertae_sedis,Turicibacter,Acidaminococcus,Dialister,Megasphaera,Mitsuokella,Selenomonas,Veillonella,Fusobacterium,Leptotrichia,Parasutterella,Sutterella,Eikenella,Bilophila,Campylobacter,Citrobacter,Proteus,Serratia,Haemophilus,Pseudomonas,Cloacibacillus,Pyramidobacter,Akkermansia
DA01167,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,2942,0,20,0,0,4,6,32,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,14,0,0,43,0,0,8,0,4,0,0,0,0,2,0,0,1,0,62,0,0,0,0,0,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FMT13A,0,3,0,1330,1,33,1,0,0,116,0,6,0,0,23,0,0,2008,3,0,0,0,0,0,0,689,0,0,1,182,107,0,0,0,0,0,0,0,0,0,0,1,32,178,0,0,1321,0,0,10,0,0,1,24,0,0,0,0,0,51,0,4,0,9,75,0,2,1,0,13,0,1368,0,0,188,457,0,0,257,10,0,0,8,2,6,0,0,0,0,0,0,0,0,1
DA01205,0,0,0,0,0,0,0,0,0,90,3,1,0,5,3,0,0,0,2,0,0,5,0,1942,0,264,0,6,0,0,663,19,0,0,0,0,0,0,0,0,0,0,542,75,0,1,1,0,0,0,0,0,1,59,0,0,370,0,0,0,0,0,0,28,0,0,1,0,0,1,0,1,0,0,2,0,0,0,116,1,0,1,0,0,0,0,0,0,0,0,0,0,0,46
FMT30,0,3,1,1817,2,317,11,1,0,5932,0,28,0,19,49,0,0,0,448,0,0,0,0,1,0,3,0,0,1,415,42,0,0,0,0,0,0,4,2,55,0,429,3239,187,9,421,593,10,0,711,5,0,3003,328,0,0,169,1,0,116,0,539,0,84,405,0,359,238,13,37,8,27,9,2,1602,0,0,0,14,0,0,491,0,0,0,0,0,0,0,9,0,0,0,0
FMT4A,0,7,0,896,0,17,0,740,0,31,5,4,0,7,6,0,0,3959,4,0,1,0,0,0,0,757,0,0,3,66,37,0,0,0,0,0,0,0,0,0,0,44,303,189,4,268,296,2,0,155,0,0,1334,130,0,0,82,0,0,29,0,21,0,14,125,0,39,552,2,0,0,242,28,0,1382,792,0,0,2,0,0,0,119,0,29,0,1,0,0,9,0,0,0,0
FMT20,0,11,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,170,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,153,13,0,3,0,0,2171,18,1,1,0,0,0,0,0,0
DA00375,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
FMT103,0,4,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,2293,0,916,0,2,72,1056,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2496,4,0,33,3300,0,0,0,0,124,0,0,0,0,0,0,34,57,0,2,4,0,0,0,0
DA00065,0,0,0,0,0,0,0,0,0,2053,0,0,0,0,40,0,0,0,544,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,2,97,6,64,1,0,0,0,0,0,0,0,5,0,0,28,0,0,1,0,0,0,1,0,0,10,0,0,7,0,44,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
DA10142,0,0,0,0,0,0,0,0,0,2942,29,0,0,60,128,0,0,0,287,0,0,0,0,1,0,4,0,0,0,3,91,7,0,0,0,0,18,0,0,0,0,13,45,22,0,154,38,0,0,275,0,0,61,185,5,0,29,0,2,10,0,162,6,4,37,0,81,8,2,37,0,21,1,0,9,0,0,0,84,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
FMT97,0,4,1,0,0,0,41,0,0,3664,4,0,30,0,0,0,0,1,0,0,0,0,0,0,0,1948,1561,0,0,87,16,0,2,0,0,0,0,0,0,0,0,21,3171,277,25,0,51,0,0,924,0,0,0,260,0,0,3,0,0,4,2,9,0,125,0,2,4,11,0,16,73,86,4,0,4,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0
GSVY1IH04.MID6.pool4-6,0,0,0,0,0,0,0,0,0,2071,0,0,0,55,125,1,0,68,129,0,0,0,0,0,0,0,0,0,0,6,0,0,6,1,0,0,0,0,0,0,0,0,18,9,2,0,0,0,0,7,0,0,0,11,0,0,0,0,1,1,0,109,0,1,44,0,24,5,0,0,0,4,0,0,5,0,0,0,1,1,0,25,0,0,0,1,0,0,0,0,1,0,0,5
GSVY1IH04.MID8.pool4-8,0,1,0,0,2,0,0,0,0,419,1,0,0,37,148,0,0,284,0,0,0,0,0,216,0,2,0,0,0,26,0,0,174,354,0,105,0,0,1,0,0,0,9,36,0,15,0,0,0,0,0,0,0,148,0,0,0,1,0,0,0,6,0,0,2,0,0,0,0,29,0,70,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
GSVY1IH04.MID9.pool4-9,0,0,0,0,0,0,0,0,0,191,5,0,0,0,15,3,3,1164,28,0,0,1,0,0,0,3,0,0,0,56,0,0,117,384,0,213,6,0,0,0,0,0,20,7,1,2,6,0,0,1,0,0,1,75,0,0,2,96,0,0,0,2,2,0,3,0,2,5,0,6,0,2,0,3,62,0,0,0,0,57,0,0,8,0,0,13,0,0,0,0,0,0,0,10
FMT12A,0,6,0,88,0,279,3,150,0,499,32,33,0,30,131,0,0,749,190,0,0,0,0,0,0,9,0,0,10,61,105,0,1,0,0,0,0,0,5,2,0,0,570,74,0,675,488,0,0,16,0,0,164,206,1,0,21,0,0,21,0,205,0,26,244,0,134,3162,100,7,0,690,1,0,569,118,0,0,4,4,0,2,41,0,32,0,0,0,0,0,0,0,0,0
DA10048,0,0,0,167,0,0,0,0,0,2966,59,38,0,31,67,0,0,0,299,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,1,0,43,129,182,2,37,135,0,0,197,0,0,0,157,1,0,11,0,0,19,0,41,4,0,33,0,9,1,0,87,0,10,2,0,16,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,195
FMT81,0,27,0,0,4,0,0,10,0,5293,268,14,0,70,327,0,0,1426,95,0,1,1,0,1338,0,32,0,0,0,28,22,0,0,2,0,0,0,62,0,0,0,0,859,310,0,0,1,0,0,1,0,0,0,0,0,0,1300,0,0,0,0,0,0,106,0,0,57,0,2,425,0,337,0,0,274,1496,0,0,936,1638,0,158,679,0,239,0,0,0,0,0,0,0,0,3916
GG349S007.MID13.1327,0,1,8,0,4,0,0,0,0,2895,59,0,0,1,402,2,0,3701,59,0,0,0,0,819,0,2,0,0,0,15,0,0,322,365,0,242,0,0,0,0,0,0,16,5,1,0,0,0,0,0,0,0,0,98,0,0,0,22,0,0,0,0,0,1,18,0,0,0,0,10,2,73,0,0,55,0,0,0,1,7,0,2,9,0,0,0,2,0,17,0,3,0,0,0
DA01384,0,3,0,5,0,0,5,0,0,64,0,1,0,0,4,0,0,0,102,0,0,0,0,19,0,0,0,0,0,52,5,0,2,0,1,0,0,0,0,0,0,7,174,1,0,1,145,0,0,0,0,0,0,1,0,0,151,0,0,1,0,0,0,0,0,0,0,0,0,90,0,15,40,1,0,0,0,0,0,409,0,0,0,0,4,0,0,0,0,0,0,0,0,2059
DA10061,0,0,0,1,0,0,0,0,0,3301,218,123,0,83,372,0,0,0,200,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,24,28,8,0,1,0,0,3,0,0,32,18,0,0,14,0,0,2,0,10,1,1,3,0,11,6,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA01203,0,6,0,0,0,0,1,0,0,891,22,14,7,4,20,0,0,7,88,0,0,0,0,40,0,4,0,0,0,16,7,2,0,3,0,0,1,0,0,0,0,4,503,11,5,7,5,0,0,3,0,1,15,43,0,0,63,0,0,0,0,2,1,1,0,0,18,0,0,92,0,59,3,0,92,0,0,4,45,2,0,3,0,0,0,57,1,0,0,32,0,0,0,28
FMT44,0,38,16,2980,3,1556,1,2619,0,435,0,8,0,8,16,67,0,39,107,0,5,24,1,0,0,6024,2,0,0,2786,6,0,16,0,4,0,0,8,0,1,1,342,1423,169,12,147,961,4,0,289,0,0,60,232,0,0,565,145,1,12,0,215,0,124,100,0,21,25,11,2,0,1541,63,0,336,2344,0,0,0,9,0,0,3,0,17,0,0,2,0,0,2,0,0,0
DA10112,0,0,0,0,0,0,0,0,0,2097,3,1,0,67,70,0,1,0,111,0,0,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,2,0,0,0,0,12,44,28,2,104,14,0,0,575,0,0,68,40,2,0,7,0,4,4,0,21,1,0,5,0,53,23,0,10,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
DA01235,0,0,0,0,0,0,0,0,0,140,0,1,0,0,18,0,0,0,0,0,0,0,0,983,0,1014,0,0,0,140,2,1,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,7,0,0,0,0,0,0,0,0,96,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0
DA10158,0,0,0,1,0,0,0,0,0,6,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,47,111,99,27,10,21,0,0,223,0,0,449,51,0,0,10,0,0,14,0,34,0,17,0,0,105,0,0,45,1,4,0,0,265,0,0,0,17,0,0,0,41,0,0,0,0,0,0,6,0,0,0,0
DA10177,0,0,0,0,0,0,0,0,0,2228,106,38,0,305,289,0,0,0,447,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,5,36,30,9,34,7,0,0,107,0,0,115,29,0,0,0,0,2,3,5,8,0,0,16,0,16,14,0,2,0,0,0,0,0,0,0,0,0,0,0,226,0,0,1,0,0,0,0,0,0,1,0,2
GG349S001.MID13.1320,0,0,0,0,0,0,0,0,0,15457,776,41,0,0,2035,6,0,8,277,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,1,32,80,10,0,1,0,0,0,1,0,23,173,0,0,0,0,2,1,0,61,0,2,0,0,188,11,0,0,0,41,0,0,0,0,0,0,99,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0
DA10136,0,0,0,0,0,0,0,0,0,1911,19,18,0,86,588,0,0,320,618,0,0,0,0,0,0,1,0,0,1,4,22,0,0,0,0,0,4,0,0,1,0,5,29,40,5,17,10,0,0,92,0,0,70,13,2,0,12,0,4,14,0,10,32,1,85,3,72,17,1,1,2,28,0,1,27,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1
DA10139,0,0,0,0,0,0,0,0,0,3088,52,305,0,86,750,0,0,21,185,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,16,31,87,53,30,13,0,0,260,0,0,32,65,0,0,3,0,0,19,0,86,1,3,0,0,66,1,0,9,1,12,0,0,0,0,0,0,1,0,0,0,179,0,2,0,0,0,0,0,0,0,0,0
DA10023,0,0,0,50,0,0,0,0,1,1007,179,33,0,0,93,0,31,1373,327,0,0,0,0,3,0,104,0,0,0,16,239,3,0,0,0,0,0,0,0,7,0,50,248,154,4,41,100,0,0,218,0,0,54,164,0,0,67,0,0,14,0,0,0,1,43,0,23,0,2,69,64,221,0,2,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA10167,2,1,0,0,0,0,0,0,0,3966,89,88,0,47,208,0,0,1,493,0,0,0,0,0,0,0,0,0,0,18,21,2,0,0,0,0,3,0,0,0,0,5,34,27,0,90,18,0,0,191,0,0,41,38,0,0,23,0,0,3,2,37,25,3,10,0,126,5,1,0,1,55,1,6,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,3,0,2,0,0
FMT17A,0,2,0,442,2,61,0,1747,0,3054,0,1,0,5,29,1,0,176,26,0,6,0,0,53,0,83,0,0,0,128,12,0,0,8,80,2,0,4,0,0,0,0,87,1000,1,41,137,2,0,103,0,0,16,87,0,0,11,111,0,28,0,9,0,16,7,0,7,43,0,342,10,295,0,0,327,195,0,0,115,1338,0,9,14,1,14,0,0,1,0,5,0,0,0,1966
DA10122,0,0,0,0,0,0,0,0,0,4474,49,42,0,13,244,0,0,110,338,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,37,19,19,5,15,10,0,0,112,0,0,92,6,1,0,13,0,0,4,0,9,0,2,0,0,39,0,0,4,4,0,1,7,150,0,0,0,0,0,0,36,91,0,0,0,1,0,0,0,0,0,0,3
FMT109,0,0,0,5,0,1,0,0,0,61,0,0,14,0,2,0,0,0,0,0,1,0,0,2314,0,573,1,0,7,327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,2054,1,94,545,1077,0,3,0,0,246,0,0,0,0,0,0,10,25,0,0,13,0,0,0,0
DA01213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3936,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA10024,0,0,0,0,0,0,0,0,0,4011,0,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,3,0,0,0,0,73,190,171,48,55,63,1,0,285,0,0,14,28,0,0,1,0,1,14,1,23,11,3,0,0,10,20,0,10,4,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
