"","F-006C1A","F063-C1U","F-001C1A","F-004C1A","A05","F-058-C1A","N10","F-050-C1A","F-003C1A","F-008C1A","F-037-C2U","F-035-C1A","F-046-C2U","N06","F-045-C1A","F-033C1A","F-041-C1A","N16","F-044-C1A","F-028C1A","F-062-C2U","F-059-C1A","A09","F-007C2U","F-054-C2U","F-034C1A","F-039-C1A","F-042-C2U","F-060-C1A","A15","F-027C1A","F-027C2U","F-036-C1A","F-020C1A","F-030C1A","F-019C2U","F-055-C1U","F-011C1A","F-007C1A","F-023C1A","F-016C2U","F-037-C1A","F-002C2U","A04","F-014C2U","F066-C2U","F-024C1A","F-061-C1A","F-032C1A","F-015C1A","N01","F-025C1A","F-030C2U","F-031C1U","F-025C2U","F-040-C1A","F-057-C2U","F-014C1A","F-022C1A","N09","N02","F-047-C1A","F-046-C1A","F-023C2U","F-029C2U","F-044-C2U","F-004C2U","F-009C2U","F-049-C1U","F064-C1A","F-010C1A","A12","F-018C1A","A07","F-022C2U","F-017C1A","F-050-C2U","F-052-C1U","F-039-C2U","F-056-C1A","N04","F-018C2U","F-041-C2U","N07","F-042-C1A","N13","F-017C2U","F-021C2U","N11","F-020C2U","F-048-C1A","F-029C1A","N15","F-002C1A","F-051-C1A","F-028C2U","F066-C1A","F-013C1U","A18","F065-C1A","A02","F-015C2U","F-026C1A","F-061-C2U","N20","F-053-C1U","A17","F-019C1A","F-024C2U","F-062-C1A","F-058-C2U","F-001C2U","N08","F-038-C1A","F-043-C1A","F-051-C2U","F-016C1A","A11","N14","F-012C1A","F-008C2U","A01","A14","A10","F-054-C1A","N17","F-003C2U","F-021C1A","A19","F-057-C1A","F-005C1A","N19","A06","F-009C1A"
"sp25",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
"sp26",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,2,0,0
"sp27",0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,4,0,0,1,0,1,0,0,5,0,0,0,4,0,0,0,0,0,22,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,0,10,0,0,1,0,4,0,0,3,2,0
"sp28",64,54,337,252,5,33,1,138,171,24,133,192,47,0,140,48,61,0,80,68,69,238,169,10,91,118,70,88,106,0,119,90,169,259,197,94,128,237,67,41,12,83,159,1,178,30,379,46,142,30,0,131,731,179,119,28,90,153,19,0,0,115,34,49,40,123,118,26,61,118,61,4,54,0,135,18,1425,232,48,11,1,60,17,0,104,0,187,104,0,22,55,125,0,131,56,10,31,7,3,100,0,53,20,81,9,161,0,7,190,75,41,498,0,62,68,94,11,3,0,35,74,26,1,0,107,1,251,36,0,123,196,3,1,36
"sp29",6,21,22,46,1,11,0,20,88,10,19,26,6,4,13,3,14,6,13,23,13,30,0,0,13,13,21,20,17,16,3,36,19,22,21,10,25,8,2,6,8,25,8,1,1,13,61,31,20,24,0,46,48,54,13,8,11,5,12,0,0,66,4,14,8,17,77,4,12,18,2,24,9,5,77,31,43,23,28,242,1,10,2,2,14,2,5,22,10,151,13,21,0,21,16,17,7,3,4,19,5,24,7,2,0,20,1,44,32,0,20,11,0,15,16,16,11,1,1,1,3,4,2,2,23,2,30,15,0,32,10,0,0,2
"sp30",0,1,7,8,3,0,2,1,0,0,28,1,0,3,0,0,0,35,1,0,4,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,2,10,0,0,2,0,1,0,9,0,2,12,1,0,3,0,0,6,0,0,0,0,0,1,2,0,3,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,81,2,1,0,2,0,1,19,2,8,7,0,0,1,3,1,10,0,0,12,0,0,0,0,0,1,22,4,1,0,0,0,4,4,1,2,0,0,0,2,13,20,3,0,0,0,0,0,0
"sp31",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp32",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp33",68,272,338,277,44,126,50,222,528,6,125,594,193,21,215,62,76,51,101,16,61,160,20,11,221,60,98,314,401,0,296,119,168,321,91,76,90,320,76,219,64,92,137,13,380,210,109,51,88,93,29,352,162,615,112,38,150,225,81,15,23,95,64,164,227,150,142,244,81,49,162,60,78,47,77,78,95,262,81,6,36,104,19,16,278,8,20,149,111,329,189,96,24,41,121,38,83,120,33,117,6,136,54,152,34,103,38,31,296,184,139,170,12,52,278,158,205,205,27,188,71,9,30,9,106,10,269,343,7,123,266,45,22,71
"sp34",3,183,2,19,1,23,59,92,396,37,28,108,27,0,58,188,162,0,191,5,12,4,8,0,69,4,16,67,147,0,32,95,198,25,13,199,2,2,3,53,18,108,10,13,3,162,303,13,21,8,1,32,22,54,1,2,5,15,6,22,47,3,41,55,13,62,9,13,47,10,16,3,23,0,14,18,202,21,34,0,1,70,28,0,9,0,33,240,0,1,113,22,4,0,56,9,19,8,0,45,0,122,0,25,1,16,0,1,203,59,90,72,0,140,18,167,93,0,0,49,26,0,0,0,59,0,6,354,38,95,21,6,0,40
