,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Glcikman_MDR15,-879.6877235959646,-1260.9671557379475,-2407.6485513894395,-2210.8176418064604,1447.8979114098759,855.5489030264434,1506.770289013894,-2435.0516984522346,11.643249652807526,2008.7947018205955,7675.826000045006,-1012.5409097396278,-2297.405956862741,-1420.3079177031714,-1078.6216960453448,-245.8425091011796,1431.1268977379327,-706.3769972900633,283.71599718620126,321.8628299333799,-1115.7760005053967,-384.05580247931675,810.5761741001322,28.686599723021583,58.20128203429572,-122.56306301880464,-219.93511101702933,153.96233177627602,-355.6994842394938,359.2276522530902
FEB017BF.01,5800.944257642764,54.42865233649678,145.53783405928473,-2832.6017900938623,-1894.7576579560669,3651.689324366353,-143.26594936731306,-1025.5096930097845,352.50982113492626,-595.5575245247303,636.4802275480662,1710.338260227643,-5274.09671519191,-725.7143287484625,-468.85110075963604,638.5972113049476,-238.68758990345032,-464.1649026202401,-621.9027832134058,-2304.96832050055,353.92747759963885,1185.0131961326172,63.30653526044052,-970.2358409545097,-863.6766094915861,-48.84281521497541,1055.6478747359993,2710.364182603827,162.0849857400952,268.3328554755736
Glcikman_MDR48,10259.50943534015,-954.4752628886247,2287.3761904223547,-2058.766459899164,462.26296469324126,-1212.081448056702,-380.2599537994812,2019.535315356224,-1979.932862032597,418.49434352020745,1026.5486819835578,-261.3437607375714,274.4562639803237,846.1876603078123,781.6830547682783,-893.9756849447372,-407.8818701580416,-237.12993863607997,284.9811594228888,530.3710235255611,395.29123092244146,-124.87974847699952,1115.283982914769,79.33332443283072,-704.5334732078405,750.4708931496293,-922.2164814351689,-565.4017253088936,-539.5569375377046,335.0143134997276
CEB017CZ.01,7899.775135681033,90.71753512771687,1516.149100873005,-4418.956930578613,-68.88077103336715,4412.301472512079,-4074.2552584609703,2291.700433614192,6967.807962296967,-1662.5253524877367,-610.6935786580189,471.22269402411143,-312.30325897927514,502.65324762249946,2363.444543308405,-377.9371576048471,-2101.999331550004,-214.65294627097484,-215.7649564252562,-2341.933993886325,347.46975670447483,1205.790579575107,547.8454806677121,7.6750291917779885,-1008.8092359140234,-206.20020015720885,-1947.99733840591,-662.2234775806252,-1445.5324138606713,-224.0492781375121
Glcikman_MDR47,-1952.679293260764,-3296.7482612264757,1001.6634503157943,588.077732225466,-5242.104794765817,646.3632643237199,4991.938528532188,2299.54092089868,1531.542410174639,3689.757591290617,7681.739507100181,97.60852109820212,-2250.577543029379,-1486.1457932305561,-440.13980919957396,-669.8539989162575,1101.563984973871,-102.95650732733941,-901.5001925110018,-1003.4197860696437,557.7770139382567,105.24914065663863,306.017936104594,-94.7691370829788,86.32674677230591,58.20783947581265,-25.723616491894276,-114.62101013052117,-192.33759733991639,149.92205414443924
AEB01513.01,-4909.64876695062,10449.456580635902,-308.1175556608307,303.8429632755631,-1738.336376951297,5941.571588409018,421.164962369726,-1688.1845745727255,-2851.3078494988576,9.778330963810868,-1362.419457531723,5421.187290153333,-590.7871667597523,986.0151383018024,-1429.660611800742,1957.0374192220581,352.9323337112695,-382.8837280978675,678.4914008937519,-2762.902976674775,940.2133407088602,-1072.7948213664465,-397.7031676528841,170.79380193830772,2776.4765862364097,-2476.4391031990504,-149.8238599101583,-540.1008625446806,-1659.5576513344067,525.5427041778267
Glcikman_MDR30,-1927.1571504253525,10971.31392004026,1147.5786782386494,-1888.614501685083,5068.945134866677,2565.236002691186,1895.1551824162534,606.7927071893974,-1503.5233992818164,-64.54111407987992,1005.6756201284423,3450.0363302571895,786.3350418410799,-243.03966870347793,-191.3726973574799,-1853.5402225620614,2230.126233585324,209.15647566334022,-1088.3825837520114,-1203.1124945611782,369.5228523103983,627.0733201823244,-1264.5237380085318,520.1645344420489,957.6710594033774,-119.49055023362239,513.6340847696925,433.43517848462994,210.44812460878254,-235.66628531640043
X0096CK00,-2030.6368223402108,360.6944048952307,-2911.299281504366,-100.74585792522899,-1898.0905754426976,-1652.3152179704023,-717.4224425276221,500.1540087980061,-1628.9181143094593,-764.6589156188052,-637.5380122850755,-734.9002415835748,-525.8900804548807,486.23175571531044,-345.39954243941094,-359.47263297453986,237.5402862430277,-548.6335676084232,-244.29712052645087,-296.03297840957964,-407.1103433299782,422.6719524706307,-423.4643873106931,-161.17251641863655,-149.16539518066764,25.291944753819052,230.5781078117133,26.699706904387313,-59.89574414024174,-27.509525088025473
EEB016WS.01,12945.394700201208,-1258.8286313205897,3499.206608096625,-2539.8870320116116,-262.8702383071289,1105.1725096727946,4203.265659544199,-2222.077782794956,-2571.6575054729383,-818.364493461462,-5772.843400520755,3379.1505233644916,-4358.014856941815,-56.47280112620989,-2296.635523380394,1452.8412782894152,992.4478069993153,410.9977618308428,-1738.3192397199307,-1092.9548444128836,-1282.0156403233154,1024.011760389315,-925.7986282854685,-671.8523392162891,-1275.5899266195597,1208.3149227346846,937.4718020238861,1275.1218148833862,-765.9665013191374,481.0934649894263
Glcikman_MDR46,-3225.372157161564,-190.9834993040173,-3293.798957932238,-1097.0396591400977,100.61404375115484,-1219.1825865005521,-1116.012875191323,95.20387576729335,-1599.4040641661536,-956.9996583692541,275.69649550997076,-876.9915273853234,-602.0209207322564,961.0856623195796,24.79073690805339,-1069.4932844351113,-42.26598720551021,-963.1577039427543,286.1539266311606,-741.760710421235,187.26418697987307,224.43857364053804,-294.3165991096323,-464.5543721385345,654.6055807037111,448.9210930475292,-198.35287056331762,130.81789910976963,-265.3598552525957,-251.74340606116996
GEB0179R.01,30.888733599552513,143.5431188544893,-2402.4670445323727,-489.6045450896593,-1762.2846868264778,-1253.679545125956,-420.99714421083235,-156.58582225553062,-682.3346022145583,-210.37843533311937,1124.4333853893281,-1246.037459656734,-20.660774244183678,-625.0787144515797,-582.2608079099615,-90.50157094000532,783.5053497402597,-293.6349892961058,603.007728873665,622.8118490538616,-15.26530283837163,73.26599816595834,179.9664263757047,309.99673656177055,99.15438992732696,217.3104625433658,919.4155414391212,-1000.747478020196,37.12817880122155,-725.4365259910392
