,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
F-050-C1A,-1232.7280136679449,-155.09499781392742,-131.95849358515338,-145.92090846984968,211.47959410411994,1.3517090092186792,26.120982193894527,-174.04851369114854,-54.26634206574979,-70.12648089510562,-36.74062638226342,-140.8969413085638,-58.65895659779247,-95.18329002686154,49.08885876901529,-55.75692308226372,338.2443011808884,50.93196427730265,30.11398229579673,-9.140335031322062,-57.05132092530077,-11.142825551435434,-36.09053912747533,9.767503074194074,-23.362913683122347,-113.22394002265874,40.218324137295916,18.9323749374336,24.67214134677772,-33.0088247492493
N01,-1527.1920643673914,339.53492410300805,-55.43307361987384,-361.4300433436728,-388.3370726583495,-53.84455215434806,-172.6458661335154,-27.672600467411634,80.01311257979172,-110.67422690401592,2.7733908607551787,166.0734405996278,-7.646156448752187,67.70026517949238,-48.78105672477227,67.47508121063326,-2.4196600689734384,-40.71052936503887,22.457469937296768,10.676841924942538,-9.877594751025516,-9.077366183072936,38.48381940186426,-11.553851330993393,3.968899112981471,-0.02613182173533744,8.115324672888715,-5.472994237021214,-14.81382557367758,-19.672812101215012
F-051-C2U,896.2468836632992,-109.66090064588053,-122.6806401764468,-12.810795858374552,-310.6532445229046,-78.72922221962638,-18.31485931732055,68.71503106915185,33.7900998124431,-5.990087865920319,-37.335569462464086,20.066335047210124,19.750813109571922,-48.7503140675151,-85.1884561992905,-115.32334492732276,-70.69964254703126,21.395900777886972,86.93595331667285,16.9409537733005,31.593981780047223,31.813940626686005,-76.18297733684126,-25.36786530058208,-10.548310476727307,19.550704734439552,9.722641057851073,-37.98493432192551,11.179210464049346,-0.16265510045262022
F-033C1A,839.422121895248,-146.94032624759456,-114.92846762572024,131.36997027065993,6.806114901179895,-15.560934297534937,4.525481303337067,-29.857767162557,-73.19588215487495,38.25613703196377,-150.35069325601364,-15.90977852460636,-254.2085143162825,74.95318193259351,110.63330542437772,189.77838766698426,-38.04306742668699,-1.1783558754816845,0.6588979962678916,39.05395236674261,8.337781696254707,-22.189783701353807,-150.32287316784183,-70.31210736404952,63.203561763485546,156.4178436026515,87.47087471101287,46.52069981093768,45.33292837674464,-34.234401210350086
A14,-1502.8548345331528,71.40266674560054,-89.2260837766847,-117.97166541797222,-196.75240651514395,109.38496146572646,12.91160945514332,-111.97847242933696,-62.49592628722958,13.288307392199664,10.20407095928038,74.49501627066203,-1.917293158235339,-26.02675548193731,27.10034869713797,20.117461471080343,-5.086022183383147,-27.743280266405282,49.4638372170249,-20.18203816893692,-32.324398079333044,68.07543996253253,29.768697315273187,22.59726799709754,1.410861537139578,10.784026994870565,-10.416031462116546,43.061237301017925,39.47453879016604,-1.274597072501333
F-025C1A,343.34601702093613,28.154560411341446,-81.7692138762958,-45.680255802577086,45.25758766291389,40.47475546007186,-13.624341117852858,-89.53836340190331,-112.82937411298562,-83.91401658302188,-45.5540238896755,-173.33473180537743,-89.1918510253096,-31.433025904758946,97.40590055018428,-154.36082144960275,33.62920080452714,-28.713336903497783,-16.79359876058249,3.5306034196348732,-1.63200036786955,-12.356089995636323,63.705890796825734,-1.2797956627095703,-9.947682330092029,-6.911544030999257,35.71397611614046,3.1820691359482325,-1.697218283914024,18.90723287822013
F064-C1A,2495.181451277392,-33.70153712166759,-79.29642591042332,192.73357218190773,113.68242882366725,8.444682356565737,34.01178117854938,-77.17021251035368,14.586764252154676,-0.4848835223869853,9.490411174928461,49.1570763312756,127.30261638572131,164.25190043041678,-138.20835086808881,98.71583066847883,6.681014492517584,23.91972374318674,-44.33854868397486,14.832992438001588,-21.989305410706013,-31.62090452463722,-12.423316276292674,43.08248962020472,92.54222544842645,-34.899263228327484,-33.92403039781711,3.3290130166477057,10.57701006509116,18.201520559424722
F-037-C1A,-1169.4199625495667,-303.7734435722243,-149.37630364212748,306.2230410282869,-35.118159407483,-132.0233367005145,66.8946198312244,-6.0771931953967835,57.31918989294008,80.2361293828961,-56.963285842941346,35.1339710319089,-45.021412848933736,-110.39012786698638,-65.55742424092215,-33.83744066091754,-89.69545564231801,-27.715201869116417,15.13560371995209,-4.891132227511135,-15.048688350315654,6.9795917737657875,-56.36160780457287,30.635041208592977,-63.21181538818031,21.915152719950605,-13.123068131606505,24.785215196570512,-43.95841148751442,-17.78082704435487
F-053-C1U,-392.5803208939792,27.429455265650674,-125.03279525397775,48.7230369511114,-115.28641075087818,-121.43587249446888,60.57651032425905,103.30293325959155,-110.80313208580993,6.588506493391004,232.44903218950157,-138.57359198433474,-22.47429743012742,-60.255429641654445,24.221353952489434,-8.18607589402745,-35.99673748619834,109.4839940951275,-3.646784534781984,-153.66492563927417,47.765557828928976,26.907645777466666,-23.637684325006834,13.349071252119233,-47.611179447390505,-19.161236901355203,-15.038813173508258,-41.1500285219434,-10.876866034041814,3.5372211364628665
N05,-1523.8132056835739,406.32458388590305,-20.263764994721395,141.1874382401767,0.2037287451802294,105.01757357207468,-73.0331837121136,-220.1015944470648,-160.70133445324853,-95.51256104325475,-34.746933260907,1.5674172529853552,-32.41678829354489,0.6535154089155482,-25.7485781316037,-17.4300487603458,-10.443523042980031,-50.59572075142594,-15.955740596068376,-37.57699391337323,14.044140481255386,-28.76171657305587,-1.498574864338763,-25.480403670210972,-5.431130051246072,0.5458555791415836,4.712182194031615,-22.116520311659784,-20.798967160908845,1.9640197438207856
