,shannon,Visit
Glcikman_MDR78,8.085877956962067,Day_0
KEB016WG.01,8.036484774088425,Wk_2
GEB015VW.01,8.07894111232443,
Glcikman_MDR18,8.117382975314406,Wk_2
Glcikman_MDR28,8.092612559753833,Wk_2
Glcikman_MDR77,8.089167314012123,Wk_2
AEB010TH.01,8.09274063810287,Day_0
X0098SG00,8.121257749055053,Wk_2
BEB010DX.01,8.07967343260473,Wk_2
Glcikman_MDR89,8.110251941933537,Mo_2
X00924J00,8.122291423946642,Mo_2
Glcikman_MDR71,8.115334447852176,Day_0
DEB014GJ.01,8.122777228106145,
Glcikman_MDR83,8.11469676789142,Mo_2
DEB0169N.01,8.111344462088237,Day_0
DEB0114X.01,8.1040494043932,Wk_2
FEB015S1.01,8.08191483156124,Day_0
HEB014G6.01,8.05972499425699,Day_0
AEB016HN.01,8.037841981180692,
DEB0184Z.01,8.070263895893216,Wk_2
Glcikman_MDR66,8.11914157694045,Mo_6
Glcikman_MDR99,8.110791310021003,Mo_24
Glcikman_MDR23,8.118235679010876,Mo_2
Glcikman_MDR37,8.1164340070197,Wk_2
Glcikman_MDR88,8.108966520398399,Mo_2
Glcikman_MDR41,8.073935158648592,Mo_2
X008YSA00,8.094169190937018,Day_0
Glcikman_MDR80,8.111563022337187,Day_0
Glcikman_MDR61,8.100285865842356,Wk_2
Glcikman_MDR52,8.115143109189624,Day_0
Glcikman_MDR25,8.119350485250733,Wk_2
Glcikman_MDR44,8.080842399001272,Mo_6
X009C8G00,8.122401183314578,Mo_2
Glcikman_MDR53,8.114301223698114,Mo_2
Glcikman_MDR55,8.111344262657985,Day_0
X009J7E00,8.122379372139953,Mo_6
Glcikman_MDR2,8.091967990162026,Mo_6
X00990K00,8.121183904361708,Mo_6
HEB017PG.01,8.070693135840665,
Glcikman_MDR98,8.120374897535156,Mo_2
Glcikman_MDR100,8.112792703819595,Mo_24
Glcikman_MDR1,8.084950360134545,Mo_6
X0091SD00,8.119331338135547,Mo_2
BEB014WD.01,8.068126575463046,Wk_2
Glcikman_MDR57,8.092768701385308,Day_0
Glcikman_MDR90,8.083630939861221,Wk_2
Glcikman_MDR42,8.097651641559757,Mo_2
Glcikman_MDR108,8.107225048637993,Mo_24
X009C6E00,8.121894508043223,Mo_6
Glcikman_MDR104,8.103601366115942,Mo_2
DEB01116.01,8.096152824645253,Wk_2
Glcikman_MDR12,8.107394442656442,Wk_2
Glcikman_MDR43,8.11803221176346,Mo_6
Glcikman_MDR82,8.093998827814321,Wk_2
Glcikman_MDR65,8.120247596017979,Mo_24
Glcikman_MDR97,8.097874692972695,Mo_2
Glcikman_MDR91,8.109889624304287,Day_0
Glcikman_MDR26,8.108729790150925,Day_0
X0090MF00,8.122522419002824,Mo_2
Glcikman_MDR62,8.112799398516835,Mo_6
Glcikman_MDR95,8.067823083452287,Mo_2
Glcikman_MDR64,8.10705698030044,Mo_6
KEB015NK.01,8.097360125874271,Mo_2
X00904E00,8.121870080395551,Mo_2
X008ZQF00,8.083586473803683,Mo_2
X0097HA00,8.120679269083048,Day_0
Glcikman_MDR17,8.11447426110686,Mo_6
X009CXC00,8.121241284776993,Mo_2
Glcikman_MDR21,8.116764945853681,Mo_2
Glcikman_MDR54,8.076240990322614,Wk_2
Glcikman_MDR20,8.110380143690364,Mo_2
Glcikman_MDR60,8.107002321802648,Day_0
Glcikman_MDR75,8.116393981390459,Day_0
X0093KA00,8.122389171462679,Mo_6
Glcikman_MDR34,8.111147278285816,Day_0
Glcikman_MDR27,8.060956391165442,Day_0
Glcikman_MDR87,8.1178474517982,Day_0
X009CGD00,8.119338359457782,Mo_6
AEB00ZYB.01,8.121748362874671,Day_0
Glcikman_MDR84,8.103011076378516,Mo_2
X009FDG00,8.119351172489768,Mo_6
BEB011PS.01,8.103504157395886,Wk_2
Glcikman_MDR81,8.116341465885117,Wk_2
HEB016FD.01,8.108671968219747,Day_0
Glcikman_MDR49,8.111926217090014,Wk_2
Glcikman_MDR69,8.112510362492584,Mo_24
Glcikman_MDR93,8.112458570906997,Wk_2
X0090SC00,8.121392290242984,Mo_2
Glcikman_MDR16,8.11387874208545,Mo_2
Glcikman_MDR56,8.109808967121868,Mo_2
Glcikman_MDR102,8.071622777904222,Wk_2
BEB01680.01,8.088025900799984,Day_0
Glcikman_MDR40,8.117679335507496,Mo_2
Glcikman_MDR109,8.106965319857833,Mo_6
Glcikman_MDR14,8.104948549798769,Wk_2
Glcikman_MDR39,8.090131969330944,Wk_2
X00965J00,8.121610056249216,Day_0
